pr,pc,threads,m,n,k,seed,iterations,elapsed_sec,time_per_iter,error,error_rel,norm_A,norm_W,norm_H,profile_hth,profile_ah,profile_solve_w,profile_wtw,profile_atw,profile_solve_h,profile_error
2,2,,20000,5000,20,42,20,6.9945751629998085,0.34972875814999044,1351.5170642651908,0.026502527434597512,50995.78021758271,22.709027966248907,4755.82705741073,0.004983225998785201,0.9760435210005198,0.07279251899944938,0.08238547900009507,0.9312774489999356,0.019534218000899273,4.839746645000105
1,1,1,1000,500,20,42,5,0.038474817760288715,0.007694963552057743,212.6861041682084,0.05887871484713216,3612.274906482063,17.836761335277227,526.4902064616207,0.001315961591899395,0.00283700879663229,0.009183701127767563,0.00025681406259536743,0.003345428965985775,0.0014334721490740776,0.018997800536453724
2,2,2,20000,5000,20,42,20,5.53932149335742,0.276966074667871,1351.6367855307874,0.026504875104641695,50995.78021758271,22.765064659370342,4830.275561497501,0.004498383961617947,0.6569474413990974,0.19219212792813778,0.029397708363831043,1.039517435245216,0.05044353287667036,3.509105204604566
